index,home_winpct,home_overall,home_vs_away_winpct,v01,v02,elo,carm-elo,raptor
all,0.6146881287726358,0.5613682092555332,0.6297786720321932,0.6589537223340041,0.6599597585513078,0.6589537223340041,0.6609657947686117,0.6599597585513078
0.0:0.1,,,,,,0.0,0.0,0.0
0.1:0.2,0.52,,,,,0.0,0.037037037037037035,0.3181818181818182
0.2:0.3,0.36065573770491804,,,0.22058823529411764,0.24,0.2545454545454545,0.36363636363636365,0.2
0.3:0.4,0.4279475982532751,,,0.3253968253968254,0.3162393162393162,0.34065934065934067,0.3434343434343434,0.29333333333333333
0.4:0.5,0.5032679738562091,,,0.422680412371134,0.40993788819875776,0.3821138211382114,0.39166666666666666,0.4230769230769231
0.5:0.6,0.65,,,0.5380952380952381,0.54337899543379,0.4936708860759494,0.5460992907801419,0.48201438848920863
0.6:0.7,0.7209302325581395,,,0.6243654822335025,0.6273291925465838,0.6052631578947368,0.5660377358490566,0.5757575757575758
0.7:0.8,0.67,,,0.6976744186046512,0.7266666666666667,0.6871165644171779,0.6729559748427673,0.6441717791411042
0.8:0.9,0.85,,,0.8467741935483871,0.8382352941176471,0.7738095238095238,0.7441860465116279,0.8142076502732241
0.9:1.0,0.5,,,,,0.9117647058823529,0.9,0.8518518518518519
