team,name,record_result,record_pred_result_v01_prob1,record_pred_result_v02_prob1,record_pred_home_winpct,record_pred_elo_prob1,record_pred_carm-elo_prob1,record_pred_raptor_prob1,record_proj_538_raptor,538_curr_record
ATL,Hawks,20-47 (30%),26-55 (32%),24-57 (30%),25-56 (31%),25-56 (31%),25-56 (31%),26-55 (32%),26-56 (32%),20-47 (30%)
BOS,Celtics,43-21 (67%),51-28 (65%),51-28 (65%),49-30 (62%),53-26 (67%),53-26 (67%),54-25 (68%),56-26 (68%),43-21 (67%)
BRK,Nets,30-34 (47%),39-40 (49%),38-41 (48%),41-38 (52%),39-40 (49%),39-40 (49%),37-42 (47%),36-46 (44%),30-34 (47%)
CHI,Bulls,22-43 (34%),28-51 (35%),28-51 (35%),31-48 (39%),26-53 (33%),26-53 (33%),28-51 (35%),27-55 (33%),22-43 (34%)
CHO,Hornets,23-42 (35%),32-48 (40%),30-50 (38%),32-48 (40%),30-50 (38%),30-50 (38%),29-51 (36%),28-54 (34%),23-42 (35%)
CLE,Cavaliers,19-46 (29%),24-56 (30%),22-58 (28%),28-52 (35%),22-58 (28%),22-58 (28%),23-57 (29%),23-59 (28%),19-46 (29%)
DAL,Mavericks,40-27 (60%),46-35 (57%),48-33 (59%),47-34 (58%),48-33 (59%),48-33 (59%),49-32 (60%),48-34 (59%),40-27 (60%)
DEN,Nuggets,43-22 (66%),51-29 (64%),52-28 (65%),49-31 (61%),52-28 (65%),52-28 (65%),52-28 (65%),53-29 (65%),43-22 (66%)
DET,Pistons,20-46 (30%),28-53 (35%),27-54 (33%),32-49 (40%),26-55 (32%),26-55 (32%),26-55 (32%),23-59 (28%),20-46 (30%)
GSW,Warriors,15-50 (23%),21-59 (26%),19-61 (24%),23-57 (29%),19-61 (24%),19-61 (24%),19-61 (24%),22-60 (27%),15-50 (23%)
HOU,Rockets,40-24 (62%),49-31 (61%),50-30 (62%),46-34 (57%),48-32 (60%),48-32 (60%),50-30 (62%),52-30 (63%),40-24 (62%)
IND,Pacers,39-26 (60%),48-33 (59%),48-33 (59%),48-33 (59%),49-32 (60%),49-32 (60%),49-32 (60%),48-34 (59%),39-26 (60%)
LAC,Clippers,44-20 (69%),51-29 (64%),51-29 (64%),51-29 (64%),53-27 (66%),53-27 (66%),53-27 (66%),58-24 (71%),44-20 (69%)
LAL,Lakers,49-14 (78%),57-23 (71%),57-23 (71%),52-28 (65%),59-21 (74%),59-21 (74%),59-21 (74%),63-19 (77%),49-14 (78%)
MEM,Grizzlies,32-33 (49%),40-40 (50%),40-40 (50%),39-41 (49%),40-40 (50%),40-40 (50%),38-42 (48%),38-44 (46%),32-33 (49%)
MIA,Heat,41-24 (63%),48-32 (60%),51-29 (64%),48-32 (60%),50-30 (62%),50-30 (62%),49-31 (61%),51-31 (62%),41-24 (63%)
MIL,Bucks,53-12 (82%),61-19 (76%),66-14 (82%),63-17 (79%),64-16 (80%),64-16 (80%),63-17 (79%),65-17 (79%),53-12 (82%)
MIN,Timberwolves,19-45 (30%),28-52 (35%),27-53 (34%),26-54 (32%),26-54 (32%),26-54 (32%),28-52 (35%),26-56 (32%),19-45 (30%)
NOP,Pelicans,28-36 (44%),37-42 (47%),38-41 (48%),37-42 (47%),39-40 (49%),39-40 (49%),41-38 (52%),40-42 (49%),28-36 (44%)
NYK,Knicks,21-45 (32%),29-52 (36%),27-54 (33%),29-52 (36%),27-54 (33%),27-54 (33%),26-55 (32%),25-57 (30%),21-45 (32%)
OKC,Thunder,40-24 (62%),46-33 (58%),46-33 (58%),46-33 (58%),46-33 (58%),46-33 (58%),46-33 (58%),50-32 (61%),40-24 (62%)
ORL,Magic,30-35 (46%),38-42 (48%),39-41 (49%),40-40 (50%),38-42 (48%),38-42 (48%),38-42 (48%),39-43 (48%),30-35 (46%)
PHI,76ers,39-26 (60%),48-33 (59%),47-34 (58%),48-33 (59%),48-33 (59%),48-33 (59%),51-30 (63%),51-31 (62%),39-26 (60%)
PHO,Suns,26-39 (40%),32-49 (40%),32-49 (40%),32-49 (40%),30-51 (37%),30-51 (37%),31-50 (38%),33-49 (40%),26-39 (40%)
POR,Trail Blazers,29-37 (44%),36-44 (45%),37-43 (46%),32-48 (40%),36-44 (45%),36-44 (45%),36-44 (45%),38-44 (46%),29-37 (44%)
SAC,Kings,28-36 (44%),36-44 (45%),36-44 (45%),35-45 (44%),35-45 (44%),35-45 (44%),34-46 (42%),37-45 (45%),28-36 (44%)
SAS,Spurs,27-36 (43%),36-44 (45%),36-44 (45%),33-47 (41%),36-44 (45%),36-44 (45%),32-48 (40%),35-47 (43%),27-36 (43%)
TOR,Raptors,46-18 (72%),54-27 (67%),55-26 (68%),57-24 (70%),59-22 (73%),59-22 (73%),57-24 (70%),57-25 (70%),46-18 (72%)
UTA,Jazz,41-23 (64%),49-30 (62%),49-30 (62%),50-29 (63%),50-29 (63%),50-29 (63%),49-30 (62%),51-31 (62%),41-23 (64%)
WAS,Wizards,24-40 (38%),32-48 (40%),30-50 (38%),32-48 (40%),28-52 (35%),28-52 (35%),28-52 (35%),29-53 (35%),24-40 (38%)
