index,home_winpct,home_overall,home_vs_away_winpct,v01,v02,elo,carm-elo,raptor
all,0.6275862068965518,0.5503448275862068,0.6372413793103449,0.6537931034482759,0.6662068965517242,0.6675862068965517,0.670344827586207,0.6524137931034483
0.0:0.1,,,,,,0.0,0.0,0.0
0.1:0.2,0.52,,,,,0.0,0.0,0.2857142857142857
0.2:0.3,0.3103448275862069,,,0.17073170731707318,0.17647058823529413,0.18421052631578946,0.3783783783783784,0.25
0.3:0.4,0.4311377245508982,,,0.30434782608695654,0.3,0.2857142857142857,0.2753623188405797,0.2542372881355932
0.4:0.5,0.46078431372549017,,,0.4230769230769231,0.38095238095238093,0.3645833333333333,0.3763440860215054,0.4117647058823529
0.5:0.6,0.5681818181818182,,,0.5182926829268293,0.5269461077844312,0.4956521739130435,0.5576923076923077,0.44660194174757284
0.6:0.7,0.7676056338028169,,,0.6241610738255033,0.6470588235294118,0.6231884057971014,0.5892857142857143,0.5811965811965812
0.7:0.8,0.6625,,,0.68,0.7047619047619048,0.6637931034482759,0.6551724137931034,0.6101694915254238
0.8:0.9,0.8181818181818182,,,0.8947368421052632,0.8723404255319149,0.752,0.712,0.8270676691729323
0.9:1.0,0.5,,,,,0.9615384615384616,0.9333333333333333,0.8421052631578947
